,sq1,sq2,sq3,sq4,sq6,sq7,sq8,sq12,sq13,sq14,sq18,sq20,sq21,sq22,sq23,sq24,sq26,sq27,sq28,sq30,sq31,sq32,sq33,sq34,sq36,sq38,sq39,sq40,sq41,sq42,sq43,sq44,sq45,sq46,sq47,sq48,sq49,sq50,sq51,sq52,sq53,sq54,sq55,sq56,sq57,sq58,sq59,sq60,sq61,sq62,sq64,sq65,sq66,sq67,sq68,sq70,sq71,sq72,sq74,sq75,sq76,sq77,sq78,sq79,sq81,sq82,sq83,sq85,sq87,sq89,sq90,sq91,sq92,sq93,sq95,sq97,sq98,sq99,sq101,sq103
O3D,12053,59,5503,0,0,1281,0,455,0,0,0,0,0,191,0,0,0,75,0,29,0,0,0,0,0,0,51,0,52,19,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,131,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3E,6087,4624,2551,157,941,560,430,282,163,199,0,95,0,88,0,0,0,84,0,60,0,0,0,24,30,47,0,0,31,32,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
O3F,11688,259,4786,0,0,1061,0,508,0,0,0,0,0,247,0,0,0,114,0,32,0,0,0,0,0,87,0,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3G,5404,3499,2288,98,756,555,271,242,131,135,0,0,0,88,0,0,0,68,0,17,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3H,6832,1818,2771,71,301,609,136,333,67,53,0,0,0,0,0,0,0,73,0,23,0,86,0,0,0,66,40,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3I,4765,63,2180,0,0,610,0,247,0,0,0,0,0,0,0,0,0,54,0,50,0,0,0,0,0,0,41,0,24,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4A,12131,0,5092,29,0,728,0,549,0,0,0,0,0,169,0,0,0,170,0,58,0,0,0,0,0,88,66,0,68,36,0,0,126,90,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4B,5511,1319,2513,0,139,514,128,218,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4C,2560,52,1179,0,0,329,0,109,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4D,1878,0,682,0,0,176,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4E,5285,40,2284,0,0,607,0,219,0,0,0,0,0,88,0,0,0,81,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
O4F,5182,114,2187,0,0,608,24,185,0,0,0,0,0,96,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
O4G,4664,129,1910,27,0,624,0,234,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4H,3252,250,1322,0,0,417,0,163,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O4I,3338,76,1535,0,0,356,0,171,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
